Image,Path_ID,Success,Steps,Completion_Rate,Avg_Error_Px,Max_Error_Px,Recoveries_Used,Time_sec,Time_Per_step_ms
000217_04,0,1,381,99.38,1.2,5.83,1,2.2291,5.85
000217_04,1,1,212,98.81,1.62,10.0,3,0.4503,2.12
000217_04,2,1,57,95.54,1.26,4.47,0,0.119,2.09
000217_04,3,1,313,99.3,1.21,4.12,0,0.6669,2.13
000217_21,0,1,51,94.97,1.45,4.24,0,0.1141,2.24
000217_23,0,0,247,39.51,1.37,12.37,3,0.5229,2.12
000217_23,1,1,184,98.83,1.51,13.6,3,0.3935,2.14
000217_23,2,1,77,95.0,8.92,19.72,7,0.1702,2.21
000217_23,3,1,216,98.94,1.12,5.39,0,0.449,2.08
000217_23,4,1,163,98.52,1.43,7.07,2,0.34,2.09
000217_23,5,1,16,85.25,1.93,3.61,0,0.0318,1.99
000217_24,0,1,306,99.14,1.77,12.08,6,0.6572,2.15
000217_24,1,1,279,98.97,1.4,7.21,1,0.6013,2.16
000217_24,2,1,68,95.65,2.21,5.66,2,0.1448,2.13
000217_24,3,1,375,99.29,1.71,10.82,6,0.8199,2.19
000217_24,4,0,214,36.5,3.84,13.89,23,0.4956,2.32
000217_34,0,1,159,97.98,1.82,7.81,3,0.3464,2.18
000217_34,1,1,289,99.12,1.29,4.47,0,0.5974,2.07
000217_34,2,1,439,99.36,1.56,12.04,5,0.9219,2.1
000217_34,3,1,72,97.0,1.79,5.39,0,0.1483,2.06
000217_34,4,1,140,97.89,1.61,7.62,1,0.2928,2.09
000217_34,5,1,41,94.07,2.09,12.04,1,0.087,2.12
000220_03,0,1,39,99.3,1.22,4.47,0,0.0821,2.1
000220_14,0,1,267,99.1,0.69,3.16,0,0.5583,2.09
000220_14,1,1,324,99.08,0.94,4.0,0,0.6877,2.12
000220_14,2,1,210,98.96,1.23,5.0,0,0.4446,2.12
000220_14,3,1,47,95.76,1.44,9.43,1,0.1005,2.14
000220_23,0,1,320,99.35,1.72,9.49,5,0.677,2.12
000220_23,1,1,248,99.11,1.14,4.0,0,0.5282,2.13
000220_24,0,1,65,95.45,2.2,14.87,2,0.139,2.14
000222_00,0,0,617,57.29,2.64,18.0,10,1.3018,2.11
000222_00,1,0,1314,27.68,12.07,19.03,189,3.0898,2.35
000222_00,2,0,22,1.34,6.75,15.23,3,0.0508,2.31
000225_20,0,1,37,85.9,3.18,10.77,2,0.0826,2.23
000225_20,1,0,844,64.35,488.85,1060.13,168,2.0909,2.48
000225_20,2,0,390,66.61,1.46,16.12,6,0.8402,2.15
000225_20,3,1,297,99.3,1.36,11.66,4,0.637,2.14
000225_20,4,1,164,98.6,1.02,3.16,0,0.3447,2.1
000225_20,5,0,38,50.76,4.98,15.81,4,0.0872,2.29
000225_20,6,1,196,98.91,1.14,5.39,2,0.423,2.16
000225_21,0,1,134,98.06,1.03,3.61,0,0.2979,2.22
000225_21,1,1,50,96.13,1.33,5.39,0,0.1061,2.12
000225_21,2,0,1968,32.31,55.5,62.13,455,5.1012,2.59
000225_23,0,1,8,77.78,2.16,4.47,0,0.0166,2.07
000225_41,0,0,131,41.69,3.28,16.12,10,0.2969,2.27
000225_41,1,0,138,37.8,2.73,11.66,5,0.3014,2.18
000225_41,2,1,293,99.35,1.37,4.24,0,0.6216,2.12
000225_41,3,1,341,49.42,3.59,14.76,4,0.7239,2.12
000227_01,0,0,214,81.15,1.54,14.32,4,4.0017,18.7
000227_01,1,1,268,99.13,0.86,3.61,0,5.0169,18.72
000227_01,2,1,326,99.11,0.87,4.12,0,6.1196,18.77
000227_01,3,1,250,99.19,1.06,3.61,0,4.6949,18.78
000227_01,4,1,48,94.25,0.94,2.83,0,0.8894,18.53
000227_04,0,1,191,98.63,1.22,4.47,0,0.4053,2.12
000227_04,1,1,342,99.3,1.29,9.49,2,0.7255,2.12
000227_04,2,0,29,27.82,4.44,12.08,4,0.069,2.38
