Image,Path_ID,Success,Steps,Completion_Rate,Avg_Error_Px,Max_Error_Px,Recoveries_Used,Time_sec,Time_Per_step_ms
prova_LV_max_resolution_6_0_0,0,1,106,82.59,2.74,18.0,2,1.7871,16.86
prova_LV_max_resolution_6_0_3,0,1,120,98.32,1.42,5.0,0,0.2635,2.2
prova_LV_max_resolution_6_0_3,1,1,112,98.66,1.08,4.0,0,0.2528,2.26
prova_LV_max_resolution_6_0_4,0,1,60,94.83,1.55,5.39,1,0.1529,2.55
prova_LV_max_resolution_6_0_4,1,1,183,98.9,1.07,5.66,0,0.4114,2.25
prova_LV_max_resolution_6_0_4,2,1,102,97.04,1.27,5.83,3,0.2864,2.81
prova_LV_max_resolution_6_0_4,3,1,2,58.33,1.12,2.24,0,0.0035,1.75
prova_LV_max_resolution_6_0_4,4,1,274,95.88,1.68,7.07,2,0.6466,2.36
prova_LV_max_resolution_6_0_4,5,1,176,98.26,1.26,7.0,3,0.443,2.52
prova_LV_max_resolution_6_0_4,6,1,62,96.14,1.07,3.0,0,0.142,2.29
prova_LV_max_resolution_6_0_5,0,1,63,84.71,2.71,13.0,5,0.2263,3.59
prova_LV_max_resolution_6_0_5,1,1,39,40.62,6.33,13.0,0,0.0876,2.25
prova_LV_max_resolution_6_0_5,2,0,119,47.14,19.9,102.18,6,0.3704,3.11
prova_LV_max_resolution_6_0_5,3,1,14,83.33,2.0,4.24,2,0.0659,4.71
prova_LV_max_resolution_6_0_5,4,1,29,93.91,1.71,5.0,0,0.0726,2.5
prova_LV_max_resolution_6_0_7,0,1,135,98.9,1.03,3.0,0,0.2945,2.18
prova_LV_max_resolution_6_0_7,1,1,80,96.9,1.38,5.0,0,0.1717,2.15
prova_LV_max_resolution_6_0_8,0,1,135,98.16,1.13,3.0,0,0.2983,2.21
prova_LV_max_resolution_6_0_8,1,1,40,95.73,1.07,3.0,0,0.0854,2.14
prova_LV_max_resolution_6_1_2,0,1,221,99.05,1.44,5.0,2,0.5256,2.38
prova_LV_max_resolution_6_1_2,1,1,215,99.06,1.46,5.0,0,0.4805,2.23
prova_LV_max_resolution_6_1_2,2,1,2,50.0,0.71,1.41,0,0.0038,1.92
prova_LV_max_resolution_6_1_2,3,1,148,98.42,1.45,4.0,1,0.3457,2.34
prova_LV_max_resolution_6_1_2,4,1,21,79.31,2.58,8.0,1,0.0649,3.09
prova_LV_max_resolution_6_1_2,5,1,44,94.59,1.1,3.0,1,0.1146,2.6
prova_LV_max_resolution_6_1_2,6,1,7,74.36,2.53,4.12,0,0.0145,2.07
prova_LV_max_resolution_6_1_2,7,1,5,70.37,0.8,2.0,0,0.0098,1.97
prova_LV_max_resolution_6_1_3,0,1,50,94.58,1.82,7.0,0,0.11,2.2
prova_LV_max_resolution_6_1_3,1,1,117,97.89,1.09,3.0,0,0.263,2.25
prova_LV_max_resolution_6_1_3,2,1,303,99.17,1.21,5.0,0,0.6688,2.21
prova_LV_max_resolution_6_1_3,3,1,175,97.56,2.05,6.71,1,0.4666,2.67
prova_LV_max_resolution_6_1_3,4,1,217,98.83,1.24,4.0,0,0.507,2.34
prova_LV_max_resolution_6_1_4,0,1,259,97.79,1.49,7.0,5,0.664,2.56
prova_LV_max_resolution_6_1_4,1,1,2,56.25,0.0,0.0,0,0.0037,1.85
prova_LV_max_resolution_6_1_5,0,1,177,91.88,2.09,9.22,7,0.5117,2.89
prova_LV_max_resolution_6_1_5,1,0,55,5.24,2.32,8.0,20,0.2455,4.46
prova_LV_max_resolution_6_1_5,2,1,17,88.73,1.18,4.0,0,0.0355,2.09
prova_LV_max_resolution_6_1_6,0,1,10,85.71,0.87,2.24,0,0.0215,2.15
prova_LV_max_resolution_6_1_6,1,0,613,40.27,1.57,10.3,20,1.4657,2.39
prova_LV_max_resolution_6_1_6,2,1,28,94.17,0.89,2.83,0,0.0605,2.16
prova_LV_max_resolution_6_1_6,3,1,3,57.14,1.33,2.0,0,0.0057,1.89
prova_LV_max_resolution_6_1_6,4,1,49,95.72,1.22,4.0,0,0.106,2.16
prova_LV_max_resolution_6_1_6,5,1,25,90.29,1.53,3.0,0,0.054,2.16
prova_LV_max_resolution_6_1_6,6,1,8,76.19,1.0,3.0,0,0.0163,2.04
prova_LV_max_resolution_6_1_6,7,1,2,81.82,0.5,1.0,0,0.0033,1.67
prova_LV_max_resolution_6_1_7,0,1,89,97.98,1.33,5.0,0,0.1933,2.17
prova_LV_max_resolution_6_1_7,1,1,81,98.06,1.62,5.39,1,0.2007,2.48
prova_LV_max_resolution_6_1_7,2,1,84,97.37,0.91,4.0,0,0.1814,2.16
prova_LV_max_resolution_6_1_7,3,1,74,93.73,1.75,7.0,0,0.1609,2.17
prova_LV_max_resolution_6_1_7,4,1,73,97.54,1.29,5.0,0,0.1685,2.31
prova_LV_max_resolution_6_1_7,5,1,5,68.97,0.6,2.0,0,0.0101,2.01
prova_LV_max_resolution_6_1_7,6,1,3,65.0,1.0,2.0,0,0.0056,1.88
prova_LV_max_resolution_6_1_8,0,1,50,96.45,1.12,4.0,0,0.1092,2.18
prova_LV_max_resolution_6_1_8,1,1,74,97.23,1.43,4.0,1,0.1876,2.53
prova_LV_max_resolution_6_1_8,2,1,4,65.38,0.75,2.0,0,0.0081,2.01
prova_LV_max_resolution_6_2_0,0,1,129,97.53,1.55,5.0,4,0.3781,2.93
prova_LV_max_resolution_6_2_0,1,1,99,98.04,1.24,4.0,0,0.2352,2.38
prova_LV_max_resolution_6_2_0,2,1,70,96.17,2.14,7.81,1,0.1799,2.57
prova_LV_max_resolution_6_2_0,3,1,18,87.65,2.03,4.0,0,0.0384,2.13
prova_LV_max_resolution_6_2_0,4,1,179,92.92,3.81,34.66,7,0.5494,3.07
prova_LV_max_resolution_6_2_0,5,1,197,98.67,1.39,4.24,1,0.4815,2.44
prova_LV_max_resolution_6_2_0,6,1,115,96.12,1.95,7.07,2,0.2978,2.59
prova_LV_max_resolution_6_2_0,7,1,4,70.83,0.75,2.0,0,0.0079,1.97
prova_LV_max_resolution_6_2_1,0,1,262,98.99,1.31,5.0,1,0.6097,2.33
prova_LV_max_resolution_6_2_1,1,1,258,98.39,1.65,8.0,2,0.6307,2.44
prova_LV_max_resolution_6_2_1,2,1,262,98.39,1.79,7.0,2,0.6173,2.36
prova_LV_max_resolution_6_2_1,3,1,270,98.91,1.68,7.0,2,0.6451,2.39
prova_LV_max_resolution_6_2_2,0,0,457,85.58,2.13,33.53,20,1.1631,2.55
prova_LV_max_resolution_6_2_2,1,1,126,96.72,1.76,9.0,1,0.2918,2.32
prova_LV_max_resolution_6_2_2,2,1,274,98.57,1.46,8.0,2,0.6381,2.33
prova_LV_max_resolution_6_2_2,3,1,200,98.97,1.68,6.4,1,0.4702,2.35
prova_LV_max_resolution_6_2_2,4,0,337,78.06,2.11,25.02,5,0.8505,2.52
prova_LV_max_resolution_6_2_2,5,1,4,61.9,1.46,2.83,0,0.008,2.0
prova_LV_max_resolution_6_2_3,0,1,363,99.0,1.33,8.0,3,0.8567,2.36
prova_LV_max_resolution_6_2_3,1,1,186,95.6,1.66,6.4,3,0.4617,2.48
prova_LV_max_resolution_6_2_3,2,1,135,98.68,0.96,3.16,0,0.3013,2.23
prova_LV_max_resolution_6_2_3,3,1,54,93.95,1.65,8.0,0,0.1185,2.2
prova_LV_max_resolution_6_2_3,4,1,160,98.54,1.46,7.0,0,0.3562,2.23
prova_LV_max_resolution_6_2_4,0,0,383,48.79,1.59,8.0,20,1.1142,2.91
prova_LV_max_resolution_6_2_4,1,0,239,67.71,6.71,44.18,9,0.7338,3.07
prova_LV_max_resolution_6_2_4,2,1,318,99.04,0.97,5.1,2,0.7378,2.32
prova_LV_max_resolution_6_2_4,3,1,191,97.01,1.66,9.0,0,0.4297,2.25
prova_LV_max_resolution_6_2_5,0,1,70,73.52,3.21,11.0,0,0.1527,2.18
prova_LV_max_resolution_6_2_5,1,1,131,98.05,1.23,4.24,0,0.303,2.31
prova_LV_max_resolution_6_2_5,2,1,177,97.66,1.42,7.62,0,0.4003,2.26
prova_LV_max_resolution_6_2_5,3,1,20,90.8,0.55,2.0,0,0.0451,2.25
prova_LV_max_resolution_6_2_5,4,1,71,93.97,1.33,8.0,0,0.1624,2.29
prova_LV_max_resolution_6_2_5,5,1,21,90.7,1.95,5.0,0,0.0454,2.16
prova_LV_max_resolution_6_2_6,0,1,135,98.13,1.06,3.61,0,0.3128,2.32
prova_LV_max_resolution_6_2_6,1,1,252,99.3,1.03,4.0,16,0.852,3.38
prova_LV_max_resolution_6_2_6,2,1,10,78.43,1.7,4.0,0,0.0209,2.09
prova_LV_max_resolution_6_2_6,3,1,67,97.07,0.97,5.0,0,0.1461,2.18
prova_LV_max_resolution_6_2_6,4,1,26,91.59,1.65,5.0,0,0.0622,2.39
prova_LV_max_resolution_6_2_7,0,1,352,99.27,1.35,6.0,1,0.798,2.27
prova_LV_max_resolution_6_2_7,1,1,44,96.15,0.8,3.0,0,0.0996,2.26
prova_LV_max_resolution_6_2_7,2,1,40,95.6,1.46,6.0,0,0.0854,2.13
prova_LV_max_resolution_6_2_7,3,1,184,98.91,1.37,5.0,0,0.4031,2.19
prova_LV_max_resolution_6_2_7,4,1,26,94.55,1.21,4.0,0,0.0553,2.13
